
------------------------------ Clearup -------------------------------
NavGraph for maps/Raven_DM1.map loaded okay
Average edge length is 23.7036
Neighborhood range set to 24.7036
Partitioning navgraph nodes...
Loading map...
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Wall
Creating a Spawn Point
Creating a Spawn Point
Creating a Spawn Point
Creating a Health
Creating a Health
Creating a Health
Creating a rocket_launcher
Creating a Railgun
Creating a shotgun
Creating a shotgun
Creating a rocket_launcher
maps/Raven_DM1.map loaded okay
Adding a rocket 404 at pos  77.3828 366.002
Adding a shotgun shell 454 at pos  427.129 124.374
Adding a shotgun shell 455 at pos  427.129 124.374
Adding a shotgun shell 456 at pos  427.129 124.374
Adding a shotgun shell 457 at pos  427.129 124.374
Adding a shotgun shell 458 at pos  427.129 124.374
Adding a shotgun shell 459 at pos  427.129 124.374
Adding a shotgun shell 460 at pos  427.129 124.374
Adding a shotgun shell 461 at pos  427.129 124.374
Adding a shotgun shell 463 at pos  430.828 117.227
Adding a shotgun shell 464 at pos  430.828 117.227
Adding a shotgun shell 465 at pos  430.828 117.227
Adding a shotgun shell 466 at pos  430.828 117.227
Adding a shotgun shell 467 at pos  430.828 117.227
Adding a shotgun shell 468 at pos  430.828 117.227
Adding a shotgun shell 469 at pos  430.828 117.227
Adding a shotgun shell 470 at pos  430.828 117.227
Adding a shotgun shell 471 at pos  430.828 117.227
Adding a shotgun shell 472 at pos  430.828 117.227
Adding a shotgun shell 474 at pos  432.075 115.567
Adding a shotgun shell 475 at pos  432.075 115.567
Adding a shotgun shell 476 at pos  432.075 115.567
Adding a shotgun shell 477 at pos  432.075 115.567
Adding a shotgun shell 478 at pos  432.075 115.567
Adding a shotgun shell 479 at pos  432.075 115.567
Adding a shotgun shell 480 at pos  432.075 115.567
Adding a shotgun shell 481 at pos  432.075 115.567
Adding a shotgun shell 482 at pos  432.075 115.567
Adding a shotgun shell 483 at pos  432.075 115.567
Adding a rail gun slug485 at pos  106.311 125.224
Adding a shotgun shell 487 at pos  420.666 129.363
Adding a shotgun shell 488 at pos  420.666 129.363
Adding a shotgun shell 489 at pos  420.666 129.363
Adding a shotgun shell 490 at pos  420.666 129.363
Adding a shotgun shell 491 at pos  420.666 129.363
Adding a shotgun shell 492 at pos  420.666 129.363
Adding a shotgun shell 493 at pos  420.666 129.363
Adding a shotgun shell 494 at pos  420.666 129.363
Adding a shotgun shell 495 at pos  420.666 129.363
Adding a shotgun shell 496 at pos  420.666 129.363
Adding a rail gun slug498 at pos  92.6901 95.9762
Adding a shotgun shell 500 at pos  420.104 133.622
Adding a shotgun shell 501 at pos  420.104 133.622
Adding a shotgun shell 502 at pos  420.104 133.622
Adding a shotgun shell 503 at pos  420.104 133.622
Adding a shotgun shell 504 at pos  420.104 133.622
Adding a shotgun shell 505 at pos  420.104 133.622
Adding a shotgun shell 506 at pos  420.104 133.622
Adding a shotgun shell 507 at pos  420.104 133.622
Adding a shotgun shell 508 at pos  420.104 133.622
Adding a shotgun shell 509 at pos  420.104 133.622
Adding a rail gun slug511 at pos  85.6873 65.8068
Adding a rocket 513 at pos  289.887 61.7107
Adding a shotgun shell 515 at pos  421.748 134.433
Adding a shotgun shell 516 at pos  421.748 134.433
Adding a shotgun shell 517 at pos  421.748 134.433
Adding a shotgun shell 518 at pos  421.748 134.433
Adding a shotgun shell 519 at pos  421.748 134.433
Adding a shotgun shell 520 at pos  421.748 134.433
Adding a shotgun shell 521 at pos  421.748 134.433
Adding a shotgun shell 522 at pos  421.748 134.433
Adding a shotgun shell 523 at pos  421.748 134.433
Adding a shotgun shell 524 at pos  421.748 134.433
Adding a bolt 526 at pos  366.184 144.801
Adding a shotgun shell 528 at pos  412.359 49.3284
Adding a shotgun shell 529 at pos  412.359 49.3284
Adding a shotgun shell 530 at pos  412.359 49.3284
Adding a shotgun shell 531 at pos  412.359 49.3284
Adding a shotgun shell 532 at pos  412.359 49.3284
Adding a shotgun shell 533 at pos  412.359 49.3284
Adding a shotgun shell 534 at pos  412.359 49.3284
Adding a shotgun shell 535 at pos  412.359 49.3284
Adding a shotgun shell 536 at pos  412.359 49.3284
Adding a shotgun shell 537 at pos  412.359 49.3284
Adding a bolt 539 at pos  357.596 142.042
Adding a rocket 541 at pos  353.81 140.755
Adding a shotgun shell 543 at pos  409.794 47.8326
Adding a shotgun shell 544 at pos  409.794 47.8326
Adding a shotgun shell 545 at pos  409.794 47.8326
Adding a shotgun shell 546 at pos  409.794 47.8326
Adding a shotgun shell 547 at pos  409.794 47.8326
Adding a shotgun shell 548 at pos  409.794 47.8326
Adding a shotgun shell 549 at pos  409.794 47.8326
Adding a shotgun shell 550 at pos  409.794 47.8326
Adding a shotgun shell 551 at pos  409.794 47.8326
Adding a shotgun shell 552 at pos  409.794 47.8326
Adding a rocket 554 at pos  359.793 146.081
Adding a bolt 556 at pos  340.594 124.465
Adding a shotgun shell 558 at pos  440.64 70.7618
Adding a shotgun shell 559 at pos  440.64 70.7618
Adding a shotgun shell 560 at pos  440.64 70.7618
Adding a shotgun shell 561 at pos  440.64 70.7618
Adding a shotgun shell 562 at pos  440.64 70.7618
Adding a shotgun shell 563 at pos  440.64 70.7618
Adding a shotgun shell 564 at pos  440.64 70.7618
Adding a shotgun shell 565 at pos  440.64 70.7618
Adding a shotgun shell 566 at pos  440.64 70.7618
Adding a shotgun shell 567 at pos  440.64 70.7618
Adding a rocket 569 at pos  341.887 128.303
Adding a rail gun slug571 at pos  272.343 52.4208
Adding a shotgun shell 573 at pos  456.635 101.723
Adding a shotgun shell 574 at pos  456.635 101.723
Adding a shotgun shell 575 at pos  456.635 101.723
Adding a shotgun shell 576 at pos  456.635 101.723
Adding a shotgun shell 577 at pos  456.635 101.723
Adding a shotgun shell 578 at pos  456.635 101.723
Adding a shotgun shell 579 at pos  456.635 101.723
Adding a shotgun shell 580 at pos  456.635 101.723
Adding a shotgun shell 581 at pos  456.635 101.723
Adding a shotgun shell 582 at pos  456.635 101.723
Adding a bolt 584 at pos  349.177 119.733
Adding a rail gun slug586 at pos  267.667 51.3171
Adding a rail gun slug589 at pos  263.903 55.5539
Adding a shotgun shell 591 at pos  459.505 117.24
Adding a shotgun shell 592 at pos  459.505 117.24
Adding a shotgun shell 593 at pos  459.505 117.24
Adding a shotgun shell 594 at pos  459.505 117.24
Adding a shotgun shell 595 at pos  459.505 117.24
Adding a shotgun shell 596 at pos  459.505 117.24
Adding a shotgun shell 597 at pos  459.505 117.24
Adding a shotgun shell 598 at pos  459.505 117.24
Adding a shotgun shell 599 at pos  459.505 117.24
Adding a shotgun shell 600 at pos  459.505 117.24
Adding a shotgun shell 603 at pos  461.56 108.364
Adding a shotgun shell 604 at pos  461.56 108.364
Adding a shotgun shell 605 at pos  461.56 108.364
Adding a shotgun shell 606 at pos  461.56 108.364
Adding a shotgun shell 607 at pos  461.56 108.364
Adding a shotgun shell 608 at pos  461.56 108.364
Adding a shotgun shell 609 at pos  461.56 108.364
Adding a shotgun shell 610 at pos  461.56 108.364
Adding a shotgun shell 611 at pos  461.56 108.364
Adding a shotgun shell 612 at pos  461.56 108.364
Adding a bolt 614 at pos  284.496 33.6408
Adding a bolt 616 at pos  311.348 119.682
Adding a rail gun slug618 at pos  274.712 35.8282
Adding a shotgun shell 622 at pos  402.87 119.998
Adding a shotgun shell 623 at pos  402.87 119.998
Adding a shotgun shell 624 at pos  402.87 119.998
Adding a shotgun shell 625 at pos  402.87 119.998
Adding a shotgun shell 626 at pos  402.87 119.998
Adding a shotgun shell 627 at pos  402.87 119.998
Adding a shotgun shell 628 at pos  402.87 119.998
Adding a shotgun shell 629 at pos  402.87 119.998
Adding a shotgun shell 630 at pos  402.87 119.998
Adding a shotgun shell 631 at pos  402.87 119.998
Adding a bolt 633 at pos  83.8922 367.983
Adding a bolt 635 at pos  95.0038 355.95
Adding a bolt 637 at pos  101.704 380.028
Adding a shotgun shell 639 at pos  419.302 130.502
Adding a shotgun shell 640 at pos  419.302 130.502
Adding a shotgun shell 641 at pos  419.302 130.502
Adding a shotgun shell 642 at pos  419.302 130.502
Adding a shotgun shell 643 at pos  419.302 130.502
Adding a shotgun shell 644 at pos  419.302 130.502
Adding a shotgun shell 645 at pos  419.302 130.502
Adding a shotgun shell 646 at pos  419.302 130.502
Adding a shotgun shell 647 at pos  419.302 130.502
Adding a shotgun shell 648 at pos  419.302 130.502
Adding a bolt 650 at pos  321.751 274.662
Adding a bolt 652 at pos  103.002 358.205
Adding a bolt 654 at pos  111.999 381.809
Adding a bolt 656 at pos  329.832 281.48
Adding a bolt 658 at pos  113.756 359.019
Adding a bolt 660 at pos  122.733 382.66
Adding a bolt 662 at pos  337.934 288.919
Adding a bolt 664 at pos  124.739 359.59
Adding a bolt 666 at pos  344.935 297.096
Adding a bolt 668 at pos  112.232 381.056
Adding a rail gun slug670 at pos  290.006 141.813
Adding a bolt 672 at pos  157.884 364.068
Adding a bolt 674 at pos  99.2882 349.717
Adding a rail gun slug676 at pos  275.009 170.879
Adding a rocket 678 at pos  185.669 221.549
Adding a bolt 680 at pos  101.694 344.69
Adding a bolt 682 at pos  269.759 173.767
Adding a bolt 684 at pos  191.629 221.152
Adding a bolt 686 at pos  149.539 341.099
Adding a bolt 688 at pos  100.382 341.161
Adding a bolt 690 at pos  202.514 220.202
Adding a shotgun shell 692 at pos  319.734 282.938
Adding a shotgun shell 693 at pos  319.734 282.938
Adding a shotgun shell 694 at pos  319.734 282.938
Adding a shotgun shell 695 at pos  319.734 282.938
Adding a shotgun shell 696 at pos  319.734 282.938
Adding a shotgun shell 697 at pos  319.734 282.938
Adding a shotgun shell 698 at pos  319.734 282.938
Adding a shotgun shell 699 at pos  319.734 282.938
Adding a shotgun shell 700 at pos  319.734 282.938
Adding a shotgun shell 701 at pos  319.734 282.938
Adding a bolt 703 at pos  256.604 180.975
Adding a bolt 705 at pos  139.649 340.47
Adding a bolt 707 at pos  90.86 340.596
Adding a bolt 709 at pos  210.634 214.498
Adding a bolt 711 at pos  246.958 186.261
Adding a bolt 713 at pos  128.053 340.227
Adding a bolt 715 at pos  79.8662 340.281
Adding a bolt 717 at pos  223.828 205.806
Adding a bolt 719 at pos  117.054 340.093
Adding a bolt 721 at pos  235.257 181.399
Adding a bolt 723 at pos  68.8673 340.151
Adding a bolt 725 at pos  105.054 340.049
Adding a bolt 727 at pos  57.2609 339.771
Adding a shotgun shell 729 at pos  270.744 280.099
Adding a shotgun shell 730 at pos  270.744 280.099
Adding a shotgun shell 731 at pos  270.744 280.099
Adding a shotgun shell 732 at pos  270.744 280.099
Adding a shotgun shell 733 at pos  270.744 280.099
Adding a shotgun shell 734 at pos  270.744 280.099
Adding a shotgun shell 735 at pos  270.744 280.099
Adding a shotgun shell 736 at pos  270.744 280.099
Adding a shotgun shell 737 at pos  270.744 280.099
Adding a shotgun shell 738 at pos  270.744 280.099
Adding a bolt 740 at pos  223.502 163.187
Adding a bolt 742 at pos  233.281 182.925
Adding a bolt 744 at pos  213.304 151.831
Adding a bolt 746 at pos  235.607 187.998
Adding a shotgun shell 748 at pos  237.945 280.01
Adding a shotgun shell 749 at pos  237.945 280.01
Adding a shotgun shell 750 at pos  237.945 280.01
Adding a shotgun shell 751 at pos  237.945 280.01
Adding a shotgun shell 752 at pos  237.945 280.01
Adding a shotgun shell 753 at pos  237.945 280.01
Adding a shotgun shell 754 at pos  237.945 280.01
Adding a shotgun shell 755 at pos  237.945 280.01
Adding a shotgun shell 756 at pos  237.945 280.01
Adding a shotgun shell 757 at pos  237.945 280.01
Adding someone to team 1
Adding a bolt 759 at pos  210.77 131.479
Adding a bolt 761 at pos  231.441 190.944
Adding a bolt 763 at pos  172.944 74.2398
Adding a bolt 765 at pos  206.337 121.861
Adding a bolt 767 at pos  225.23 182.097
Adding a bolt 769 at pos  218.988 173.04
Adding a bolt 771 at pos  149.863 83.9447
Adding a bolt 773 at pos  213.637 162.978
Adding a bolt 775 at pos  211.905 152.133
Adding a bolt 777 at pos  136.69 93.2325
Adding a bolt 779 at pos  178.884 89.3814
Adding a bolt 781 at pos  210.874 141.199
Adding a shotgun shell 783 at pos  312.908 109.14
Adding a shotgun shell 784 at pos  312.908 109.14
Adding a shotgun shell 785 at pos  312.908 109.14
Adding a shotgun shell 786 at pos  312.908 109.14
Adding a shotgun shell 787 at pos  312.908 109.14
Adding a shotgun shell 788 at pos  312.908 109.14
Adding a shotgun shell 789 at pos  312.908 109.14
Adding a shotgun shell 790 at pos  312.908 109.14
Adding a shotgun shell 791 at pos  312.908 109.14
Adding a shotgun shell 792 at pos  312.908 109.14
Adding a bolt 794 at pos  134.51 78.3422
Adding a bolt 796 at pos  167.65 83.9558
Adding a bolt 798 at pos  140.433 78.5521
Adding a bolt 800 at pos  207.849 123.416
Adding a bolt 802 at pos  160.688 82.2604
Adding a bolt 804 at pos  140.535 77.0889
Adding a bolt 806 at pos  200.589 113.874
Adding a bolt 808 at pos  193.141 104.478
Adding someone to team 1
Adding a bolt 810 at pos  29.2552 247.234
Adding a bolt 812 at pos  29.5725 236.339
Adding a bolt 814 at pos  176.008 85.8622
Adding a bolt 816 at pos  145.999 95.4081
Adding a bolt 818 at pos  134.234 100.406
BOT 621 IS STUCK!!
Adding a bolt 820 at pos  174.069 74.4122
Adding a bolt 822 at pos  113.648 117.277
Adding a bolt 824 at pos  142.643 92.4635
Adding a bolt 826 at pos  183.996 76.8543
Adding a bolt 828 at pos  105.881 123.039
Adding a bolt 830 at pos  193.184 71.0402
Adding a bolt 832 at pos  98.364 131.055
Adding a bolt 834 at pos  70.4069 194.914
Adding a bolt 836 at pos  202.379 65.0034
Adding a bolt 838 at pos  199.238 56.3008
Adding a bolt 840 at pos  113.931 116.549
Adding someone to team 1
Adding a shotgun shell 842 at pos  428.21 69.2176
Adding a shotgun shell 843 at pos  428.21 69.2176
Adding a shotgun shell 844 at pos  428.21 69.2176
Adding a shotgun shell 845 at pos  428.21 69.2176
Adding a shotgun shell 846 at pos  428.21 69.2176
Adding a shotgun shell 847 at pos  428.21 69.2176
Adding a shotgun shell 848 at pos  428.21 69.2176
Adding a shotgun shell 849 at pos  428.21 69.2176
Adding a shotgun shell 850 at pos  428.21 69.2176
Adding a shotgun shell 851 at pos  428.21 69.2176
Adding a bolt 853 at pos  91.0053 159.949
Adding a bolt 855 at pos  91.3045 195.603
Adding a rocket 857 at pos  199.865 55.8549
Adding a bolt 859 at pos  81.2624 195.867
Adding a bolt 861 at pos  90.0851 172.837
Adding a bolt 863 at pos  98.0715 131.197
Adding a bolt 865 at pos  86.9802 178.641
Adding a shotgun shell 867 at pos  422.547 78.4309
Adding a shotgun shell 868 at pos  422.547 78.4309
Adding a shotgun shell 869 at pos  422.547 78.4309
Adding a shotgun shell 870 at pos  422.547 78.4309
Adding a shotgun shell 871 at pos  422.547 78.4309
Adding a shotgun shell 872 at pos  422.547 78.4309
Adding a shotgun shell 873 at pos  422.547 78.4309
Adding a shotgun shell 874 at pos  422.547 78.4309
Adding a shotgun shell 875 at pos  422.547 78.4309
Adding a shotgun shell 876 at pos  422.547 78.4309
Adding a bolt 878 at pos  93.5966 141.454
Adding someone to team 1
Adding a bolt 880 at pos  88.451 170.073
Adding a rail gun slug882 at pos  79.7495 141.918
BOT 402 IS STUCK!!
Adding someone to team 1
Adding a bolt 884 at pos  89.2687 132.206
Adding a shotgun shell 886 at pos  228.624 203.564
Adding a shotgun shell 887 at pos  228.624 203.564
Adding a shotgun shell 888 at pos  228.624 203.564
Adding a shotgun shell 889 at pos  228.624 203.564
Adding a shotgun shell 890 at pos  228.624 203.564
Adding a shotgun shell 891 at pos  228.624 203.564
Adding a shotgun shell 892 at pos  228.624 203.564
Adding a shotgun shell 893 at pos  228.624 203.564
Adding a shotgun shell 894 at pos  228.624 203.564
Adding a shotgun shell 895 at pos  228.624 203.564
Adding a bolt 897 at pos  272.153 63.504
Adding a bolt 899 at pos  283.858 49.1827
Adding a shotgun shell 901 at pos  299.194 147.027
Adding a shotgun shell 902 at pos  299.194 147.027
Adding a shotgun shell 903 at pos  299.194 147.027
Adding a shotgun shell 904 at pos  299.194 147.027
Adding a shotgun shell 905 at pos  299.194 147.027
Adding a shotgun shell 906 at pos  299.194 147.027
Adding a shotgun shell 907 at pos  299.194 147.027
Adding a shotgun shell 908 at pos  299.194 147.027
Adding a shotgun shell 909 at pos  299.194 147.027
Adding a shotgun shell 910 at pos  299.194 147.027
Adding a shotgun shell 912 at pos  318.815 112.116
Adding a shotgun shell 913 at pos  318.815 112.116
Adding a shotgun shell 914 at pos  318.815 112.116
Adding a shotgun shell 915 at pos  318.815 112.116
Adding a shotgun shell 916 at pos  318.815 112.116
Adding a shotgun shell 917 at pos  318.815 112.116
Adding a shotgun shell 918 at pos  318.815 112.116
Adding a shotgun shell 919 at pos  318.815 112.116
Adding a shotgun shell 920 at pos  318.815 112.116
Adding a shotgun shell 921 at pos  318.815 112.116
Adding a bolt 923 at pos  288.658 47.8304
Adding a bolt 925 at pos  289.505 60.1676
Adding a shotgun shell 927 at pos  301.831 148.125
Adding a shotgun shell 928 at pos  301.831 148.125
Adding a shotgun shell 929 at pos  301.831 148.125
Adding a shotgun shell 930 at pos  301.831 148.125
Adding a shotgun shell 931 at pos  301.831 148.125
Adding a shotgun shell 932 at pos  301.831 148.125
Adding a shotgun shell 933 at pos  301.831 148.125
Adding a shotgun shell 934 at pos  301.831 148.125
Adding a shotgun shell 935 at pos  301.831 148.125
Adding a shotgun shell 936 at pos  301.831 148.125
Adding a bolt 938 at pos  289.552 76.7606
Adding a bolt 940 at pos  289.713 87.4356
Adding a shotgun shell 942 at pos  299.517 111.017
Adding a shotgun shell 943 at pos  299.517 111.017
Adding a shotgun shell 944 at pos  299.517 111.017
Adding a shotgun shell 945 at pos  299.517 111.017
Adding a shotgun shell 946 at pos  299.517 111.017
Adding a shotgun shell 947 at pos  299.517 111.017
Adding a shotgun shell 948 at pos  299.517 111.017
Adding a shotgun shell 949 at pos  299.517 111.017
Adding a shotgun shell 950 at pos  299.517 111.017
Adding a shotgun shell 951 at pos  299.517 111.017
Adding a shotgun shell 953 at pos  300.966 155.979
Adding a shotgun shell 954 at pos  300.966 155.979
Adding a shotgun shell 955 at pos  300.966 155.979
Adding a shotgun shell 956 at pos  300.966 155.979
Adding a shotgun shell 957 at pos  300.966 155.979
Adding a shotgun shell 958 at pos  300.966 155.979
Adding a shotgun shell 959 at pos  300.966 155.979
Adding a shotgun shell 960 at pos  300.966 155.979
Adding a shotgun shell 961 at pos  300.966 155.979
Adding a shotgun shell 962 at pos  300.966 155.979
Adding a rail gun slug964 at pos  245.696 185.104
Adding a shotgun shell 966 at pos  299.075 164.197
Adding a shotgun shell 967 at pos  299.075 164.197
Adding a shotgun shell 968 at pos  299.075 164.197
Adding a shotgun shell 
969 at pos  299.075 164.197
Adding a shotgun shell 970 at pos  299.075 164.197
Adding a shotgun shell 971 at pos  299.075 164.197
Adding a shotgun shell 972 at pos  299.075 164.197
Adding a shotgun shell 973 at pos  299.075 164.197
Adding a shotgun shell 974 at pos  299.075 164.197
Adding a shotgun shell 975 at pos  299.075 164.197
BOT 401 IS STUCK!!
Adding a bolt 977 at pos  283.823 118.748
Adding a shotgun shell 979 at pos  306.142 117.675
Adding a shotgun shell 980 at pos  306.142 117.675
Adding a shotgun shell 981 at pos  306.142 117.675
Adding a shotgun shell 982 at pos  306.142 117.675
Adding a shotgun shell 983 at pos  306.142 117.675
Adding a shotgun shell 984 at pos  306.142 117.675
Adding a shotgun shell 985 at pos  306.142 117.675
Adding a shotgun shell 986 at pos  306.142 117.675
Adding a shotgun shell 987 at pos  306.142 117.675
Adding a shotgun shell 988 at pos  306.142 117.675
Adding a bolt 990 at pos  279.87 127.891
Adding a bolt 992 at pos  278.817 136.232
Adding a shotgun shell 994 at pos  299.425 170.474
Adding a shotgun shell 995 at pos  299.425 170.474
Adding a shotgun shell 996 at pos  299.425 170.474
Adding a shotgun shell 997 at pos  299.425 170.474
Adding a shotgun shell 998 at pos  299.425 170.474
Adding a shotgun shell 999 at pos  299.425 170.474
Adding a shotgun shell 1000 at pos  299.425 170.474
Adding a shotgun shell 1001 at pos  299.425 170.474
Adding a shotgun shell 1002 at pos  299.425 170.474
Adding a shotgun shell 1003 at pos  299.425 170.474
Adding a bolt 1005 at pos  279.994 140.149
Adding a rail gun slug1007 at pos  237.798 166.239
Adding a shotgun shell 1009 at pos  301.34 134.81
Adding a shotgun shell 1010 at pos  301.34 134.81
Adding a shotgun shell 1011 at pos  301.34 134.81
Adding a shotgun shell 1012 at pos  301.34 134.81
Adding a shotgun shell 1013 at pos  301.34 134.81
Adding a shotgun shell 1014 at pos  301.34 134.81
Adding a shotgun shell 1015 at pos  301.34 134.81
Adding a shotgun shell 1016 at pos  301.34 134.81
Adding a shotgun shell 1017 at pos  301.34 134.81
Adding a shotgun shell 1018 at pos  301.34 134.81
Adding a bolt 1020 at pos  225.326 187.699
Adding a bolt 1022 at pos  278.173 148.953
Adding a bolt 1024 at pos  228.316 196.971
Adding a shotgun shell 1026 at pos  275.151 175.447
Adding a shotgun shell 1027 at pos  275.151 175.447
Adding a shotgun shell 1028 at pos  275.151 175.447
Adding a shotgun shell 1029 at pos  275.151 175.447
Adding a shotgun shell 1030 at pos  275.151 175.447
Adding a shotgun shell 1031 at pos  275.151 175.447
Adding a shotgun shell 1032 at pos  275.151 175.447
Adding a shotgun shell 1033 at pos  275.151 175.447
Adding a shotgun shell 1034 at pos  275.151 175.447
Adding a shotgun shell 1035 at pos  275.151 175.447
Adding a bolt 1037 at pos  271.705 155.829
Adding a bolt 1039 at pos  249.587 165.986
Adding a shotgun shell 1041 at pos  287.941 145.387
Adding a shotgun shell 1042 at pos  287.941 145.387
Adding a shotgun shell 1043 at pos  287.941 145.387
Adding a shotgun shell 1044 at pos  287.941 145.387
Adding a shotgun shell 1045 at pos  287.941 145.387
Adding a shotgun shell 1046 at pos  287.941 145.387
Adding a shotgun shell 1047 at pos  287.941 145.387
Adding a shotgun shell 1048 at pos  287.941 145.387
Adding a shotgun shell 1049 at pos  287.941 145.387
Adding a shotgun shell 1050 at pos  287.941 145.387
Adding a bolt 1052 at pos  223.924 203.15
Adding a bolt 1054 at pos  262.906 158.77
Adding a bolt 1056 at pos  227.566 188.135
Adding a bolt 1058 at pos  248.716 177.797
Adding a bolt 1060 at pos  215.135 213.788
Adding a shotgun shell 1062 at pos  270.457 179.506
Adding a shotgun shell 1063 at pos  270.457 179.506
Adding a shotgun shell 1064 at pos  270.457 179.506
Adding a shotgun shell 1065 at pos  270.457 179.506
Adding a shotgun shell 1066 at pos  270.457 179.506
Adding a shotgun shell 1067 at pos  270.457 179.506
Adding a shotgun shell 1068 at pos  270.457 179.506
Adding a shotgun shell 1069 at pos  270.457 179.506
Adding a shotgun shell 1070 at pos  270.457 179.506
Adding a shotgun shell 1071 at pos  270.457 179.506
Adding a bolt 1073 at pos  201.954 217.306
Adding a shotgun shell 1075 at pos  270.235 158.944
Adding a shotgun shell 1076 at pos  270.235 158.944
Adding a shotgun shell 1077 at pos  270.235 158.944
Adding a shotgun shell 1078 at pos  270.235 158.944
Adding a shotgun shell 1079 at pos  270.235 158.944
Adding a shotgun shell 1080 at pos  270.235 158.944
Adding a shotgun shell 1081 at pos  270.235 158.944
Adding a shotgun shell 1082 at pos  270.235 158.944
